customer_id,recency,frequency,monetary,R_score,F_score,M_score,RFM_sum
12346.0,610.0,17,-64.67999999999302,1,4,1,6
12347.0,96.0,8,5633.32,3,3,4,10
12348.0,221.0,5,2019.4,2,3,3,8
12349.0,973.0,5,4404.54,1,3,4,8
12350.0,312.0,1,334.4,2,1,2,5
12351.0,0.0,1,300.93,4,1,1,6
12352.0,275.0,13,1889.21,2,4,3,9
12353.0,0.0,2,406.76,4,1,2,7
12354.0,0.0,1,1079.4,4,1,3,8
12355.0,97.0,2,947.61,3,1,3,7
12356.0,129.0,6,6373.68,2,3,4,9
12357.0,183.0,3,18287.66,2,2,4,8
12358.0,4.0,5,3887.07,3,3,4,10
12359.0,10.0,14,8714.89,3,4,4,11
12360.0,365.0,9,4212.89,2,4,4,10
12361.0,462.0,4,511.25,1,2,2,5
12362.0,31.0,14,5284.58,3,4,4,11
12363.0,37.0,2,552.0,3,1,2,6
12364.0,302.0,4,1313.1,2,2,3,7
12365.0,0.0,3,320.69,4,2,1,7
12366.0,0.0,1,500.24,4,1,2,7
12367.0,213.0,1,168.9,2,1,1,4
12368.0,0.0,1,917.6999999999999,4,1,3,8
12369.0,495.0,3,1791.15,1,2,3,6
12370.0,69.0,7,4320.31,3,3,4,10
12371.0,31.0,5,4067.38,3,3,4,10
12372.0,36.0,3,1298.04,3,2,3,8
12373.0,343.0,3,1127.65,2,2,3,7
12374.0,0.0,4,2989.2200000000003,4,2,4,10
12375.0,152.0,3,455.42,2,2,2,6
12376.0,0.0,2,503.15,4,1,2,7
12377.0,0.0,4,3426.32,4,2,4,10
12378.0,306.0,2,5416.32,2,1,4,7
12379.0,157.0,5,1618.27,2,3,3,8
12380.0,158.0,15,7888.0,2,4,4,10
12381.0,1.0,6,1803.96,3,3,3,9
12382.0,0.0,1,-18.38,4,1,1,6
12383.0,10.0,6,1839.31,3,3,3,9
12384.0,30.0,3,566.16,3,2,2,7
12385.0,0.0,2,1923.4,4,1,3,8
12386.0,193.0,2,660.8,2,1,2,5
12387.0,0.0,1,143.94,4,1,1,6
12388.0,99.0,8,3901.11,3,3,4,10
12389.0,668.0,3,1433.33,1,2,3,6
12390.0,0.0,1,549.84,4,1,2,7
12391.0,617.0,7,2747.82,1,3,4,8
12392.0,0.0,1,234.75000000000003,4,1,1,6
12393.0,40.0,7,2376.75,3,3,4,10
12394.0,154.0,2,1272.48,2,1,3,6
12395.0,6.0,18,5046.92,3,4,4,11
12396.0,649.0,1,931.43,1,1,3,5
12397.0,244.0,2,2409.9,2,1,4,7
12398.0,0.0,1,1635.6599999999999,4,1,3,8
12399.0,3.0,7,1962.3,3,3,3,9
12400.0,0.0,1,205.25,4,1,1,6
12401.0,100.0,1,84.3,3,1,1,5
12402.0,365.0,7,1244.15,2,3,3,8
12403.0,552.0,3,1001.36,1,2,3,6
12404.0,0.0,1,63.24,4,1,1,6
12405.0,0.0,1,1710.39,4,1,3,8
12406.0,94.0,7,6072.21,3,3,4,10
12407.0,187.0,5,1708.1200000000001,2,3,3,8
12408.0,129.0,14,4279.64,2,4,4,10
12409.0,66.0,13,23090.47,3,4,4,11
12410.0,39.0,4,1001.46,3,2,3,8
12411.0,0.0,1,346.9,4,1,2,7
12412.0,459.0,8,2581.03,1,3,4,8
12413.0,10.0,6,935.5,3,3,3,9
12414.0,189.0,8,692.41,2,3,2,7
12415.0,71.0,33,143269.29,3,4,4,11
12416.0,0.0,1,202.56,4,1,1,6
12417.0,61.0,27,6708.21,3,4,4,11
12418.0,371.0,5,2016.95,1,3,3,7
12419.0,0.0,2,503.01,4,1,2,7
12420.0,154.0,1,600.39,2,1,2,5
12421.0,0.0,8,1092.83,4,3,3,10
12422.0,216.0,21,4119.35,2,4,4,10
